Epoch 1: Train Acc 0.6207, Val Acc 0.7083
Epoch 2: Train Acc 0.7845, Val Acc 0.8194
Epoch 3: Train Acc 0.8649, Val Acc 0.8611
Epoch 4: Train Acc 0.8736, Val Acc 0.9167
Epoch 5: Train Acc 0.8851, Val Acc 0.9306
Epoch 6: Train Acc 0.9023, Val Acc 0.9028
Epoch 7: Train Acc 0.9224, Val Acc 0.9444
Epoch 8: Train Acc 0.9253, Val Acc 0.9306
Epoch 9: Train Acc 0.9138, Val Acc 0.9306
Epoch 10: Train Acc 0.9282, Val Acc 0.9028
Epoch 11: Train Acc 0.9569, Val Acc 0.9306
Epoch 12: Train Acc 0.9799, Val Acc 0.8889
Epoch 13: Train Acc 0.9684, Val Acc 0.9167
Epoch 14: Train Acc 0.9741, Val Acc 0.9028
Epoch 15: Train Acc 0.9856, Val Acc 0.8889
Epoch 16: Train Acc 0.9799, Val Acc 0.9028
Epoch 17: Train Acc 0.9943, Val Acc 0.9167
Epoch 18: Train Acc 0.9885, Val Acc 0.9167
Epoch 19: Train Acc 0.9713, Val Acc 0.9167
Epoch 20: Train Acc 0.9741, Val Acc 0.9028
Epoch 21: Train Acc 0.9741, Val Acc 0.9028
Epoch 22: Train Acc 0.9914, Val Acc 0.9306
Epoch 23: Train Acc 0.9770, Val Acc 0.8889
Epoch 24: Train Acc 0.9799, Val Acc 0.9167
Epoch 25: Train Acc 0.9799, Val Acc 0.9167
Epoch 26: Train Acc 0.9828, Val Acc 0.9028
Epoch 27: Train Acc 0.9943, Val Acc 0.9167
Epoch 28: Train Acc 0.9885, Val Acc 0.9306
Epoch 29: Train Acc 0.9828, Val Acc 0.8889
Epoch 30: Train Acc 0.9885, Val Acc 0.8889
Epoch 31: Train Acc 0.9684, Val Acc 0.8889
Epoch 32: Train Acc 0.9828, Val Acc 0.9306
Epoch 33: Train Acc 0.9856, Val Acc 0.9167
Epoch 34: Train Acc 0.9741, Val Acc 0.9028
Epoch 35: Train Acc 0.9828, Val Acc 0.9167
Epoch 36: Train Acc 0.9914, Val Acc 0.8889
Epoch 37: Train Acc 0.9856, Val Acc 0.8611
Epoch 38: Train Acc 0.9943, Val Acc 0.9028
Epoch 39: Train Acc 0.9943, Val Acc 0.9167
Epoch 40: Train Acc 0.9885, Val Acc 0.9167
Epoch 41: Train Acc 0.9828, Val Acc 0.9028
Epoch 42: Train Acc 0.9770, Val Acc 0.9167
Epoch 43: Train Acc 0.9885, Val Acc 0.9167
Epoch 44: Train Acc 0.9885, Val Acc 0.8611
Epoch 45: Train Acc 0.9828, Val Acc 0.9306
Epoch 46: Train Acc 0.9971, Val Acc 0.9306
Epoch 47: Train Acc 0.9943, Val Acc 0.9306
