DATASPLITTER: total: 1, val: 0, test: 0
DATASPLITTER: total: 1, val: 0, test: 0
DATASPLITTER: total: 1, val: 0, test: 0
DATASPLITTER: total: 1, val: 0, test: 0
DATASPLITTER: total: 1, val: 0, test: 0
DATASPLITTER: total: 1, val: 0, test: 0
DATASPLITTER: total: 1, val: 0, test: 0
DATASPLITTER: total: 1, val: 0, test: 0
DATASPLITTER: total: 1, val: 0, test: 0
DATASPLITTER: total: 1, val: 0, test: 0
DATASPLITTER: total: 1, val: 0, test: 0
DATASPLITTER: total: 1, val: 0, test: 0
DATASPLITTER: total: 1, val: 0, test: 0
DATASPLITTER: total: 1, val: 0, test: 0
DATASPLITTER: total: 1, val: 0, test: 0
DATASPLITTER: total: 1, val: 0, test: 0
DATASPLITTER: total: 1, val: 0, test: 0
DATASPLITTER: total: 1, val: 0, test: 0
DATASPLITTER: total: 1, val: 0, test: 0
DATASPLITTER: total: 1, val: 0, test: 0
DATASPLITTER: total: 1, val: 0, test: 0
DATASPLITTER: total: 1, val: 0, test: 0
DATASPLITTER: total: 1, val: 0, test: 0
DATASPLITTER: total: 1, val: 0, test: 0
DATASPLITTER: total: 1, val: 0, test: 0
DATASPLITTER: total: 1, val: 0, test: 0
DATASPLITTER: total: 1, val: 0, test: 0
DATASPLITTER: total: 1, val: 0, test: 0
DATASPLITTER: total: 1, val: 0, test: 0
DATASPLITTER: total: 1, val: 0, test: 0
DATASPLITTER: total: 1, val: 0, test: 0
DATASPLITTER: total: 1, val: 0, test: 0
DATASPLITTER: total: 1, val: 0, test: 0
DATASPLITTER: total: 1, val: 0, test: 0
DATASPLITTER: total: 1, val: 0, test: 0
DATASPLITTER: total: 1, val: 0, test: 0
DATASPLITTER: total: 1, val: 0, test: 0
DATASPLITTER: total: 1, val: 0, test: 0
DATASPLITTER: total: 1, val: 0, test: 0
DATASPLITTER: total: 1, val: 0, test: 0
DATASPLITTER: total: 1, val: 0, test: 0
DATASPLITTER: total: 1, val: 0, test: 0
DATASPLITTER: total: 1, val: 0, test: 0
DATASPLITTER: total: 1, val: 0, test: 0
DATASPLITTER: total: 1, val: 0, test: 0
DATASPLITTER: total: 1, val: 0, test: 0
DATASPLITTER: total: 1, val: 0, test: 0
DATASPLITTER: total: 1, val: 0, test: 0
DATASPLITTER: total: 1, val: 0, test: 0
DATASPLITTER: total: 1, val: 0, test: 0
DATASPLITTER: total: 1, val: 0, test: 0
DATASPLITTER: total: 1, val: 0, test: 0
DATASPLITTER: total: 1, val: 0, test: 0
DATASPLITTER: total: 1, val: 0, test: 0
DATASPLITTER: total: 1, val: 0, test: 0
DATASPLITTER: total: 1, val: 0, test: 0
DATASPLITTER: total: 1, val: 0, test: 0
