                                                               
Epoch 1: Train Acc 0.5879, Val Acc 0.7500
Epoch 2: Train Acc 0.7397, Val Acc 0.8167
Epoch 3: Train Acc 0.8000, Val Acc 0.8000
Epoch 4: Train Acc 0.8121, Val Acc 0.8583
Epoch 5: Train Acc 0.8448, Val Acc 0.8500
Epoch 6: Train Acc 0.8603, Val Acc 0.8333
Epoch 7: Train Acc 0.8603, Val Acc 0.7750
Epoch 8: Train Acc 0.8741, Val Acc 0.8417
Epoch 9: Train Acc 0.8810, Val Acc 0.7750
Epoch 10: Train Acc 0.8793, Val Acc 0.8333
Epoch 11: Train Acc 0.8793, Val Acc 0.8250
Epoch 12: Train Acc 0.8845, Val Acc 0.8167
Epoch 13: Train Acc 0.9069, Val Acc 0.8417
Epoch 14: Train Acc 0.8931, Val Acc 0.8083
Epoch 15: Train Acc 0.9155, Val Acc 0.8500
Epoch 16: Train Acc 0.9155, Val Acc 0.8083
Epoch 17: Train Acc 0.9207, Val Acc 0.8167
Epoch 18: Train Acc 0.9069, Val Acc 0.8750
Epoch 19: Train Acc 0.9276, Val Acc 0.8667
Epoch 20: Train Acc 0.9431, Val Acc 0.8417
Epoch 21: Train Acc 0.9483, Val Acc 0.8333
Epoch 22: Train Acc 0.9466, Val Acc 0.8167
Epoch 23: Train Acc 0.9517, Val Acc 0.8083
Epoch 24: Train Acc 0.9276, Val Acc 0.8000
Epoch 25: Train Acc 0.9431, Val Acc 0.8417
Epoch 26: Train Acc 0.9483, Val Acc 0.8333
Epoch 27: Train Acc 0.9017, Val Acc 0.8500
Epoch 28: Train Acc 0.9448, Val Acc 0.8250
Epoch 29: Train Acc 0.9259, Val Acc 0.8750
Epoch 30: Train Acc 0.9466, Val Acc 0.8500
Epoch 31: Train Acc 0.9483, Val Acc 0.8667
Epoch 32: Train Acc 0.9397, Val Acc 0.8833
Epoch 33: Train Acc 0.9379, Val Acc 0.8250
Epoch 34: Train Acc 0.9345, Val Acc 0.8500
Epoch 35: Train Acc 0.9569, Val Acc 0.8583
Epoch 36: Train Acc 0.9431, Val Acc 0.8000
Epoch 37: Train Acc 0.9414, Val Acc 0.8667
Epoch 38: Train Acc 0.9552, Val Acc 0.8667
Epoch 39: Train Acc 0.9483, Val Acc 0.8500
Epoch 40: Train Acc 0.9103, Val Acc 0.7833
Epoch 41: Train Acc 0.9259, Val Acc 0.8417
Epoch 42: Train Acc 0.9414, Val Acc 0.8500
Epoch 43: Train Acc 0.9638, Val Acc 0.8417
Epoch 44: Train Acc 0.9759, Val Acc 0.8250
Epoch 45: Train Acc 0.9276, Val Acc 0.7833
Epoch 46: Train Acc 0.9328, Val Acc 0.8167
Epoch 47: Train Acc 0.9466, Val Acc 0.8750
Epoch 48: Train Acc 0.9466, Val Acc 0.8833
Epoch 49: Train Acc 0.9724, Val Acc 0.9000
Epoch 50: Train Acc 0.9707, Val Acc 0.8917
Epoch 51: Train Acc 0.9690, Val Acc 0.8667
Epoch 52: Train Acc 0.9500, Val Acc 0.8750
Epoch 53: Train Acc 0.9328, Val Acc 0.8500
Epoch 54: Train Acc 0.9621, Val Acc 0.8667
Epoch 55: Train Acc 0.9500, Val Acc 0.8667
Epoch 56: Train Acc 0.9552, Val Acc 0.8750
Epoch 57: Train Acc 0.9603, Val Acc 0.8583
Epoch 58: Train Acc 0.9776, Val Acc 0.8583
Epoch 59: Train Acc 0.9500, Val Acc 0.8583
Epoch 60: Train Acc 0.9655, Val Acc 0.8167
Epoch 61: Train Acc 0.9328, Val Acc 0.8667
Epoch 62: Train Acc 0.9345, Val Acc 0.8750
Epoch 63: Train Acc 0.9707, Val Acc 0.8500
Epoch 64: Train Acc 0.9707, Val Acc 0.8583
Epoch 65: Train Acc 0.9707, Val Acc 0.8667
Epoch 66: Train Acc 0.9724, Val Acc 0.8583
Epoch 67: Train Acc 0.9724, Val Acc 0.8667
Epoch 68: Train Acc 0.9483, Val Acc 0.8667
Epoch 69: Train Acc 0.9517, Val Acc 0.8667
Epoch 70: Train Acc 0.9759, Val Acc 0.8667
Epoch 71: Train Acc 0.9638, Val Acc 0.8417
Epoch 72: Train Acc 0.9621, Val Acc 0.8333
Epoch 73: Train Acc 0.9534, Val Acc 0.8667
Epoch 74: Train Acc 0.9638, Val Acc 0.8583
Epoch 75: Train Acc 0.9759, Val Acc 0.8417
Epoch 76: Train Acc 0.9483, Val Acc 0.8333
Epoch 77: Train Acc 0.9759, Val Acc 0.8500
Epoch 78: Train Acc 0.9707, Val Acc 0.8667
Epoch 79: Train Acc 0.9672, Val Acc 0.8417
Epoch 80: Train Acc 0.9638, Val Acc 0.8167
Epoch 81: Train Acc 0.9707, Val Acc 0.8417
Epoch 82: Train Acc 0.9741, Val Acc 0.8500
Epoch 83: Train Acc 0.9448, Val Acc 0.8500
Epoch 84: Train Acc 0.9517, Val Acc 0.8250
Epoch 85: Train Acc 0.9672, Val Acc 0.8083
Epoch 86: Train Acc 0.9448, Val Acc 0.8417
Epoch 87: Train Acc 0.9655, Val Acc 0.8333
Epoch 88: Train Acc 0.9603, Val Acc 0.8417
Epoch 89: Train Acc 0.9741, Val Acc 0.8500
Epoch 90: Train Acc 0.9500, Val Acc 0.8417
Epoch 91: Train Acc 0.9155, Val Acc 0.8083
Epoch 92: Train Acc 0.9328, Val Acc 0.8583
Epoch 93: Train Acc 0.9414, Val Acc 0.8333
Epoch 94: Train Acc 0.9483, Val Acc 0.8500
Epoch 95: Train Acc 0.9362, Val Acc 0.8500
Epoch 96: Train Acc 0.9552, Val Acc 0.8583
Epoch 97: Train Acc 0.9621, Val Acc 0.8500
Epoch 98: Train Acc 0.9724, Val Acc 0.8583
Epoch 99: Train Acc 0.9534, Val Acc 0.8417
Epoch 100: Train Acc 0.9362, Val Acc 0.8333
