                                                               
Epoch 1: Train Acc 0.7481, Val Acc 0.9347
Epoch 2: Train Acc 0.9500, Val Acc 0.9466
Epoch 3: Train Acc 0.9567, Val Acc 0.9466
Epoch 4: Train Acc 0.9517, Val Acc 0.9644
Epoch 5: Train Acc 0.9610, Val Acc 0.9585
Epoch 6: Train Acc 0.9644, Val Acc 0.9585
Epoch 7: Train Acc 0.9627, Val Acc 0.9792
Epoch 8: Train Acc 0.9729, Val Acc 0.9525
Epoch 9: Train Acc 0.9703, Val Acc 0.9763
Epoch 10: Train Acc 0.9805, Val Acc 0.9674
Epoch 11: Train Acc 0.9763, Val Acc 0.9881
Epoch 12: Train Acc 0.9763, Val Acc 0.9674
Epoch 13: Train Acc 0.9796, Val Acc 0.9763
Epoch 14: Train Acc 0.9813, Val Acc 0.9763
Epoch 15: Train Acc 0.9890, Val Acc 0.9703
Epoch 16: Train Acc 0.9873, Val Acc 0.9555
Epoch 17: Train Acc 0.9864, Val Acc 0.9644
Epoch 18: Train Acc 0.9805, Val Acc 0.9822
Epoch 19: Train Acc 0.9881, Val Acc 0.9674
Epoch 20: Train Acc 0.9822, Val Acc 0.9733
Epoch 21: Train Acc 0.9763, Val Acc 0.9792
Epoch 22: Train Acc 0.9898, Val Acc 0.9674
Epoch 23: Train Acc 0.9915, Val Acc 0.9792
Epoch 24: Train Acc 0.9881, Val Acc 0.9970
Epoch 25: Train Acc 0.9966, Val Acc 0.9763
Epoch 26: Train Acc 0.9915, Val Acc 0.9674
Epoch 27: Train Acc 0.9890, Val Acc 0.9703
Epoch 28: Train Acc 0.9915, Val Acc 0.9852
Epoch 29: Train Acc 0.9924, Val Acc 0.9763
Epoch 30: Train Acc 0.9958, Val Acc 0.9674
Epoch 31: Train Acc 0.9881, Val Acc 0.9792
Epoch 32: Train Acc 0.9975, Val Acc 0.9911
Epoch 33: Train Acc 0.9890, Val Acc 0.9911
Epoch 34: Train Acc 0.9881, Val Acc 0.9763
Epoch 35: Train Acc 0.9881, Val Acc 0.9703
Epoch 36: Train Acc 0.9898, Val Acc 0.9733
Epoch 37: Train Acc 0.9958, Val Acc 0.9703
Epoch 38: Train Acc 0.9941, Val Acc 0.9674
Epoch 39: Train Acc 0.9941, Val Acc 0.9792
Epoch 40: Train Acc 0.9966, Val Acc 0.9822
Epoch 41: Train Acc 0.9924, Val Acc 0.9911
Epoch 42: Train Acc 0.9898, Val Acc 0.9852
Epoch 43: Train Acc 0.9932, Val Acc 0.9733
Epoch 44: Train Acc 0.9966, Val Acc 0.9881
Epoch 45: Train Acc 0.9907, Val Acc 0.9733
Epoch 46: Train Acc 0.9898, Val Acc 0.9792
Epoch 47: Train Acc 0.9958, Val Acc 0.9763
Epoch 48: Train Acc 0.9873, Val Acc 0.9703
Epoch 49: Train Acc 0.9915, Val Acc 0.9792
Epoch 50: Train Acc 0.9941, Val Acc 0.9881
Epoch 51: Train Acc 0.9890, Val Acc 0.9674
Epoch 52: Train Acc 0.9966, Val Acc 0.9763
Epoch 53: Train Acc 0.9992, Val Acc 0.9911
Epoch 54: Train Acc 0.9941, Val Acc 0.9822
Epoch 55: Train Acc 0.9992, Val Acc 0.9881
Epoch 56: Train Acc 0.9966, Val Acc 0.9703
Epoch 57: Train Acc 0.9881, Val Acc 0.9674
Epoch 58: Train Acc 0.9992, Val Acc 0.9852
Epoch 59: Train Acc 0.9975, Val Acc 0.9763
Epoch 60: Train Acc 0.9932, Val Acc 0.9733
Epoch 61: Train Acc 0.9992, Val Acc 0.9881
Epoch 62: Train Acc 0.9992, Val Acc 0.9733
